,time,flux,err
217019,-1745.4326324728318,1.0007724,40.519207
217020,-1745.4319513645023,0.99977654,40.510834
217021,-1745.43127015559,1.0010203,40.52704
217022,-1745.430589146912,0.9998698,40.511963
217023,-1745.429908038117,0.99946827,40.512806
217024,-1745.4292268296704,1.0002549,40.52871
217025,-1745.4285457208753,1.0005418,40.53576
217026,-1745.4278646125458,0.9988399,40.520355
217027,-1745.4271834036335,0.9980045,40.513565
217028,-1745.4265022948384,1.0005004,40.551464
217029,-1745.425821186509,0.9988029,40.532745
217030,-1745.425140077714,0.99858546,40.538895
217031,-1745.4244589689188,1.0010884,40.578175
217032,-1745.4237778601237,0.99850243,40.549984
217033,-1745.4230967517942,1.0003117,40.582897
217034,-1745.422415542882,1.0008903,40.597164
217035,-1745.4217344345525,0.99941784,40.581997
217036,-1745.4210532256402,0.9982735,40.577072
217037,-1745.420372116845,1.000151,40.6053
217038,-1745.4196910085157,0.99906725,40.600086
217039,-1745.4190099998375,0.99862486,40.60324
217040,-1745.4183287909254,0.99952924,40.618176
217041,-1745.417647682596,0.99968565,40.62962
217042,-1745.4169664736835,1.000211,40.642178
217043,-1745.4162853648886,1.0003062,40.649647
217044,-1745.4156042565592,0.9992699,40.644535
217045,-1745.4149230476469,0.9999342,40.661148
217046,-1745.4142419393174,0.99819803,40.643265
217047,-1745.4135609301738,1.0003351,40.676155
217048,-1745.4128797217272,1.0002571,40.67874
217049,-1745.412198612932,1.0018593,40.703545
217050,-1745.411517504603,0.99967456,40.67902
217051,-1745.4108362956904,0.9994183,40.680237
217052,-1745.4101551868953,0.9991419,40.67898
217053,-1745.4094740785658,1.0007366,40.70483
217054,-1745.4087928696536,0.9997967,40.694115
217055,-1745.4074307521803,1.0017525,40.725067
217056,-1745.406749543734,0.99968207,40.699898
217057,-1745.4060684349388,0.99809384,40.678562
217058,-1745.4053873266091,1.0004416,40.70882
217059,-1745.4047062178142,1.0023533,40.735737
217060,-1745.404025008902,0.999471,40.699493
217061,-1745.4033439005725,1.0000918,40.70469
217062,-1745.4026628918946,1.0000728,40.706512
217063,-1745.4019816829823,0.9998857,40.70222
217064,-1745.4013005741872,0.99936235,40.69486
217065,-1745.4006194658575,0.9990325,40.69022
217066,-1745.3999382569457,1.0011559,40.711624
217067,-1745.3992571481504,1.000393,40.702045
217068,-1745.398576039821,1.0003843,40.7033
217069,-1745.3978949310258,0.9998225,40.69245
217070,-1745.3972138222307,1.0001692,40.692276
217071,-1745.3965327134356,0.99988544,40.690067
217072,-1745.395851605106,1.000906,40.69611
217073,-1745.395170396194,0.9995536,40.673588
217074,-1745.3944892878644,0.99975514,40.676888
217075,-1745.3938081790693,0.99973243,40.672176
217076,-1745.392445861362,0.9996183,40.664474
217077,-1745.3917648531497,0.99966484,40.66292
217078,-1745.3910836442374,0.99928105,40.654083
217079,-1745.3904025354425,0.9987231,40.640987
217080,-1745.3897214271128,0.9995581,40.64741
217081,-1745.3890402182003,1.0005462,40.659763
217082,-1745.3883591094054,0.999021,40.632683
217083,-1745.3876779009588,0.99942446,40.63261
217084,-1745.3869967921637,0.9998922,40.63455
217085,-1745.3863157834858,0.99957937,40.62465
217086,-1745.385634674691,0.99880815,40.61544
217087,-1745.384953466244,0.99919564,40.611256
217088,-1745.384272357449,0.9997548,40.6162
217089,-1745.3835912486538,0.9990746,40.607002
217090,-1745.3829100402072,1.0003418,40.61706
217091,-1745.382228931412,0.99981254,40.604362
217092,-1745.3815477229657,1.0000684,40.605896
217093,-1745.3808666141704,1.0000504,40.602867
217094,-1745.3801856054924,0.9992708,40.588066
217095,-1745.379504496697,0.99994147,40.59696
217096,-1745.378823287785,0.9997648,40.592552
